AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Swiss round 6
  Team           catfish
  Colour         White
  Opponent       AlphaBeta
  Opening        London System
  Start FEN      r1bqk2r/pp2bppp/2n1pn2/2pp4/3P4/2PBP1B1/PP1N1PPP/R2QK1NR b KQkq - 3 7
  You moved      Second
  Machine        w-be9a5e
  Finished       2026-09-11 13:19:37 UTC
  Match ID       1757acc8-8299-4d78-83b8-e27ecd490307

INIT
  Ready in       24.6 s
  Budget         90.0 s
  Used           27 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          130
  Time used      177.7 s
  Slowest        10.0 s on move 23
  Fastest        0.2 s on move 102
  Average        1.4 s
  Left at end    7.3 s

RESULT
  Drawn by insufficient material
  Game lasted 348.2 s

MOVES
    #  move          time     clock left
    1  a4            3.7 s      116.8 s
    2  Ngf3          2.8 s      114.5 s
    3  Ne5           2.2 s      112.8 s
    4  Bxe5          1.1 s      112.2 s
    5  Bg3           3.2 s      109.5 s
    6  Nf3           4.5 s      105.4 s
    7  Bf4           1.4 s      104.6 s
    8  h4            2.4 s      102.7 s
    9  Ne5           2.6 s      100.6 s
   10  a5            2.9 s       98.3 s
   11  Qa4           1.0 s       97.7 s
   12  Bxe4          3.2 s       95.0 s
   13  Qxa5          1.7 s       93.8 s
   14  Qb5           3.1 s       91.1 s
   15  g4            3.5 s       88.1 s
   16  Qd7           2.9 s       85.7 s
   17  Qxe6+         2.8 s       83.4 s
   18  Bxe5          1.1 s       82.8 s
   19  g5            8.3 s       75.0 s
   20  g6            7.0 s       68.5 s
   21  Qxg6          1.3 s       67.7 s
   22  Qg5           1.3 s       66.9 s
   23  hxg5         10.0 s       57.4 s
   24  Rh2           4.0 s       53.9 s
   25  Ra2           2.1 s       52.3 s
   26  f4            1.1 s       51.7 s
   27  Kf2           2.7 s       49.5 s
   28  Kg3           2.6 s       47.4 s
   29  Kxf3          3.1 s       44.8 s
   30  Ra1           1.2 s       44.1 s
   31  Kf4           3.0 s       41.5 s
   32  Rh8           3.8 s       38.3 s
   33  Rh2           1.9 s       36.9 s
   34  Kg4           0.9 s       36.4 s
   35  Rh8           0.9 s       36.1 s
   36  Re8           1.6 s       35.0 s
   37  Kh4           4.0 s       31.5 s
   38  Rg1           1.1 s       30.9 s
   39  Kg4           4.4 s       27.0 s
   40  Re6           2.5 s       24.9 s
   41  g6            2.4 s       23.0 s
   42  Bf4           0.6 s       22.8 s
   43  Ra1           0.4 s       22.9 s
   44  Bg3           0.8 s       22.6 s
   45  Kh4           2.0 s       21.1 s
   46  Rd6           2.9 s       18.7 s
   47  Rd8+          1.1 s       18.1 s
   48  Rxd5          1.2 s       17.4 s
   49  Rg5           0.5 s       17.4 s
   50  Be5           0.7 s       17.2 s
   51  e4            1.5 s       16.3 s
   52  Rxg2          0.7 s       16.1 s
   53  Kh3           0.7 s       15.9 s
   54  Ra2           0.5 s       15.9 s
   55  Kg3           0.6 s       15.8 s
   56  Bc7           0.9 s       15.4 s
   57  Rxe2          1.3 s       14.6 s
   58  Bd6           0.9 s       14.2 s
   59  Kf3           1.0 s       13.7 s
   60  Bc5           1.6 s       12.7 s
   61  Ba3           0.7 s       12.5 s
   62  Ke3           0.6 s       12.4 s
   63  d5+           0.2 s       12.6 s
   64  e5            1.4 s       11.8 s
   65  Kf2           0.3 s       12.0 s
   66  e6+           0.8 s       11.7 s
   67  d6            0.5 s       11.7 s
   68  Kg1           1.2 s       11.0 s
   69  Kxg2          0.2 s       11.3 s
   70  Kf2           0.7 s       11.2 s
   71  Kf3           0.4 s       11.3 s
   72  Ke3           0.4 s       11.4 s
   73  Bc5           1.0 s       10.8 s
   74  Kd4           0.2 s       11.1 s
   75  Ba3           1.7 s        9.9 s
   76  Bb4           0.5 s        9.9 s
   77  Ke5           2.3 s        8.2 s
   78  Ba3           0.3 s        8.4 s
   79  Kd4           0.5 s        8.4 s
   80  Ke3           0.5 s        8.5 s
   81  Kd2           0.6 s        8.3 s
   82  Kc2           0.8 s        8.0 s
   83  Kc1           0.3 s        8.3 s
   84  Kb1           0.6 s        8.2 s
   85  Bb4           0.2 s        8.5 s
   86  Ba5           0.3 s        8.7 s
   87  Ka2           0.2 s        8.9 s
   88  Ka3           0.2 s        9.3 s
   89  Bb6           0.7 s        9.1 s
   90  Bd4           1.0 s        8.6 s
   91  Kb2           0.5 s        8.5 s
   92  Bf6           0.6 s        8.4 s
   93  Bg7           0.7 s        8.2 s
   94  Bf8           0.6 s        8.1 s
   95  Be7           0.7 s        7.9 s
   96  Bb4           0.4 s        8.0 s
   97  Ba3           0.5 s        8.0 s
   98  Be7           0.7 s        7.8 s
   99  Bg5+          1.2 s        7.1 s
  100  Bf6           0.3 s        7.3 s
  101  Bh8           0.2 s        7.6 s
  102  Bd4           0.2 s        7.9 s
  103  Be5           0.2 s        8.2 s
  104  Bg3           0.8 s        7.9 s
  105  Kxa3          0.3 s        8.1 s
  106  Be5+          0.5 s        8.2 s
