round,colour,opponent,result,termination,init_s,moves,time_used_s,slowest_s,fastest_s,average_s,clock_left_s,machine,finished_at
Final 122,Black,BetaGo,Draw,Fifty moves,28.4,122,171.4,9.1,0.0,1.4,9.6,w-58d7c7,2026-09-11T14:45:58.542176+00:00
Final 121,White,Opus Carlsen,Loss,Checkmate,26.3,65,142.8,12.3,0.0,2.2,9.7,w-7ef5bd,2026-09-11T14:32:39.504543+00:00
Final 120,White,Danya's Disciple,Win,Checkmate,26.4,74,144.2,7.5,0.0,1.9,12.8,w-97473c,2026-09-11T14:20:16.572338+00:00
Final 119,Black,Lubina,Win,Checkmate,24.1,82,151.5,8.1,0.0,1.8,9.5,w-91996f,2026-09-11T14:07:44.559831+00:00
Final 118,White,Team1,Win,Checkmate,25.3,80,154.4,8.2,0.0,1.9,5.6,w-94f091,2026-09-11T13:55:58.207798+00:00
Final 117,White,Ryan Vincent,Draw,Threefold repetition,24.8,73,149.1,9.2,0.3,2.0,7.4,w-f45c03,2026-09-11T13:42:40.434778+00:00
Final 116,Black,Solo Man,Win,Checkmate,25.6,54,123.7,12.6,0.0,2.3,23.3,w-e72f1c,2026-09-11T13:29:23.304+00:00
Final 115,White,AlphaBeta,Draw,Insufficient material,24.6,130,177.7,10.0,0.2,1.4,7.3,w-be9a5e,2026-09-11T13:19:37.697813+00:00
Final 114,White,HAL9000,Win,Checkmate,26.2,49,130.3,7.4,0.0,2.7,14.2,w-97473c,2026-09-11T13:06:04.160892+00:00
Final 113,Black,Stonkfish,Loss,Checkmate,23.9,74,152.4,13.9,0.0,2.1,4.6,w-f93023,2026-09-11T12:55:26.582339+00:00
Final 112,White,The Pershore Gambit,Win,Checkmate,24.8,51,120.1,8.1,0.0,2.4,25.4,w-d07f0a,2026-09-11T12:41:16.594341+00:00
Final 111,White,Dogwarts,Win,Checkmate,25.8,49,109.1,7.6,0.0,2.2,35.4,w-f93023,2026-09-11T12:29:03.191323+00:00
