AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Practice round 5
  Team           catfish
  Colour         White
  Opponent       Sobriety
  Opening        Sicilian Closed
  Start FEN      r1bqk2r/pp2ppbp/2np1np1/2p5/P3P3/2NP1NP1/1PP2PBP/R1BQK2R b KQkq - 0 7
  You moved      Second
  Machine        w-281221
  Finished       2026-09-12 10:27:32 UTC
  Match ID       d2066d46-cb71-455c-b42d-81de133c6bc4

INIT
  Ready in       20.2 s
  Budget         30.0 s
  Used           67 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          125
  Time used      175.4 s
  Slowest        10.7 s on move 1
  Fastest        0.0 s on move 125
  Average        1.4 s
  Left at end    7.1 s

RESULT
  Drawn by threefold repetition
  Game lasted 344.5 s

MOVES
    #  move          time     clock left
    1  O-O          10.7 s      109.8 s
    2  Re1           6.1 s      104.2 s
    3  Nd5           5.1 s       99.6 s
    4  exd5          3.6 s       96.5 s
    5  Nd2           2.0 s       95.0 s
    6  c3            4.5 s       91.0 s
    7  Rb1           3.6 s       87.9 s
    8  b4            1.6 s       86.9 s
    9  cxb4          2.6 s       84.8 s
   10  Qb3           1.9 s       83.4 s
   11  Nf1           5.7 s       78.2 s
   12  Qd1           1.5 s       77.2 s
   13  Nd2           2.3 s       75.4 s
   14  Be4           1.8 s       74.1 s
   15  axb5          2.9 s       71.7 s
   16  Rxb3          1.1 s       71.1 s
   17  Rxb5          1.0 s       70.6 s
   18  Bb2           3.3 s       67.8 s
   19  Bxd4          3.5 s       64.7 s
   20  Qb3           2.9 s       62.3 s
   21  Qxb5          5.5 s       57.3 s
   22  Rb1           2.9 s       54.9 s
   23  Bg2           1.1 s       54.3 s
   24  Qc4           3.2 s       51.5 s
   25  Qxd4          4.2 s       47.8 s
   26  Kxh2          2.6 s       45.8 s
   27  Kg1           3.3 s       43.0 s
   28  Rb7+          1.1 s       42.4 s
   29  Rxf7+         0.8 s       42.1 s
   30  Bh3           1.4 s       41.1 s
   31  Kg2           1.9 s       39.7 s
   32  Kf3           1.9 s       38.3 s
   33  Kg2           1.4 s       37.4 s
   34  Bd7           3.7 s       34.2 s
   35  f3            1.6 s       33.1 s
   36  Bf5           1.4 s       32.2 s
   37  Bc8           0.9 s       31.7 s
   38  Be6           1.5 s       30.7 s
   39  Bf5           2.0 s       29.2 s
   40  fxg4          1.1 s       28.7 s
   41  Be6           2.6 s       26.6 s
   42  Bd7           1.4 s       25.7 s
   43  Be6           0.5 s       25.7 s
   44  Bf5           0.6 s       25.6 s
   45  Kf2           1.5 s       24.6 s
   46  Ke2           1.2 s       23.9 s
   47  Bc8           1.2 s       23.2 s
   48  Bf5           1.1 s       22.6 s
   49  Bd7           0.9 s       22.2 s
   50  Bc8           1.4 s       21.3 s
   51  Kf1           0.8 s       21.0 s
   52  Bf5           0.9 s       20.6 s
   53  Ke2           0.5 s       20.6 s
   54  Bd7           1.1 s       20.0 s
   55  Bf5           0.7 s       19.8 s
   56  Bc8           0.5 s       19.8 s
   57  Be6           1.0 s       19.3 s
   58  Bc8           3.1 s       16.6 s
   59  Bd7           1.2 s       15.9 s
   60  Bc8           0.1 s       16.4 s
   61  Be6           0.9 s       16.0 s
   62  Kf2           0.6 s       15.9 s
   63  Ke2           0.8 s       15.6 s
   64  Bc8           1.1 s       15.0 s
   65  Kf2           0.9 s       14.7 s
   66  Ke2           0.4 s       14.7 s
   67  Bd7           2.2 s       13.1 s
   68  Bc8           1.3 s       12.2 s
   69  Bd7           0.6 s       12.1 s
   70  Be6           0.5 s       12.1 s
   71  Bc8           0.3 s       12.3 s
   72  Bd7           0.7 s       12.1 s
   73  Bf5           0.6 s       11.9 s
   74  Bd7           0.4 s       12.1 s
   75  Be6           0.8 s       11.8 s
   76  Kf1           0.4 s       11.9 s
   77  Ke2           0.6 s       11.8 s
   78  Bd7           0.8 s       11.6 s
   79  Bh3           0.2 s       11.9 s
   80  Bc8           0.6 s       11.8 s
   81  Bh3           1.0 s       11.3 s
   82  Be6           0.7 s       11.1 s
   83  Bh3           2.6 s        9.0 s
   84  Bg2           0.3 s        9.2 s
   85  Kf1           0.2 s        9.5 s
   86  Ke2           0.4 s        9.6 s
   87  Kf1           0.6 s        9.5 s
   88  Be4           0.6 s        9.5 s
   89  Ke2           0.4 s        9.6 s
   90  Bg2           0.7 s        9.3 s
   91  Kf1           0.4 s        9.4 s
   92  Ke2           0.6 s        9.3 s
   93  Kf1           0.5 s        9.3 s
   94  Ke2           0.4 s        9.4 s
   95  Bf1           0.4 s        9.5 s
   96  Bg2           0.5 s        9.5 s
   97  Kd2           0.6 s        9.4 s
   98  Ke2           0.4 s        9.5 s
   99  Bf3           0.5 s        9.5 s
  100  Bh1           0.4 s        9.6 s
  101  Bg2           1.3 s        8.9 s
  102  Kf1           0.5 s        8.9 s
  103  Be4           0.4 s        9.0 s
  104  Kg2           0.2 s        9.2 s
  105  Kh3           0.9 s        8.8 s
  106  Kg2           0.5 s        8.8 s
  107  Bf3           0.5 s        8.8 s
  108  Be4           0.8 s        8.6 s
  109  Bg6           0.5 s        8.6 s
  110  Be4           0.0 s        9.1 s
  111  Bh7           0.2 s        9.4 s
  112  Bg6           0.4 s        9.5 s
  113  Bh7           1.9 s        8.1 s
  114  Bg6           0.9 s        7.7 s
  115  Bh7           0.8 s        7.4 s
  116  Bg8           0.5 s        7.4 s
  117  Be6           0.4 s        7.5 s
  118  Bh3           1.4 s        6.7 s
  119  Bd7           0.5 s        6.6 s
