AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Practice round 8
  Team           catfish
  Colour         White
  Opponent       Miskeen
  Opening        Caro-Kann Classical
  Start FEN      rn1qkbnr/pp2pppp/2p3b1/8/3P3P/6N1/PPP2PP1/R1BQKBNR b KQkq - 0 6
  You moved      Second
  Machine        w-bca728
  Finished       2026-09-12 10:58:29 UTC
  Match ID       4f4f4b3d-2cf9-4caa-a4f2-a6d1e73160f6

INIT
  Ready in       20.2 s
  Budget         30.0 s
  Used           67 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          197
  Time used      211.1 s
  Slowest        9.8 s on move 10
  Fastest        0.0 s on move 93
  Average        1.1 s
  Left at end    7.4 s

RESULT
  Drawn by fifty moves
  Game lasted 426.3 s

MOVES
    #  move          time     clock left
    1  Nf3           9.7 s      110.8 s
    2  Bd3           2.2 s      109.0 s
    3  Qxd3          1.1 s      108.5 s
    4  Bf4           1.5 s      107.5 s
    5  O-O-O         1.5 s      106.4 s
    6  Kb1           3.7 s      103.2 s
    7  Qd2           2.1 s      101.7 s
    8  Bxh6          7.5 s       94.7 s
    9  Qxh6          6.7 s       88.5 s
   10  Nh5           9.8 s       79.2 s
   11  Qxh5          1.9 s       77.8 s
   12  Qh6           1.5 s       76.8 s
   13  Qf4           2.3 s       75.0 s
   14  Rhe1          1.0 s       74.5 s
   15  Ng5           2.5 s       72.5 s
   16  Qc1           2.2 s       70.8 s
   17  Qxg5+         1.4 s       69.9 s
   18  d5            4.4 s       66.0 s
   19  Qf6           6.0 s       60.5 s
   20  Qxe5          8.0 s       53.0 s
   21  Rxe5          3.4 s       50.1 s
   22  a4            7.1 s       43.6 s
   23  a5            1.7 s       42.3 s
   24  Ka2           2.2 s       40.6 s
   25  g3            2.6 s       38.5 s
   26  Rd4           0.5 s       38.4 s
   27  Re2           0.7 s       38.2 s
   28  Rxc4          1.6 s       37.2 s
   29  c3            0.6 s       37.0 s
   30  Rc5           2.3 s       35.3 s
   31  Rxa5          1.7 s       34.1 s
   32  Re5           1.6 s       33.0 s
   33  Re6           2.6 s       30.9 s
   34  Ka3           0.9 s       30.5 s
   35  Re7           2.5 s       28.5 s
   36  Rxf7+         0.9 s       28.1 s
   37  Kb4           0.7 s       27.9 s
   38  Ka3           1.9 s       26.5 s
   39  Ka2           0.9 s       26.2 s
   40  Kb3           0.8 s       25.9 s
   41  Kc2           1.3 s       25.0 s
   42  b3            1.0 s       24.6 s
   43  b4            0.9 s       24.2 s
   44  Kc1           1.6 s       23.2 s
   45  Kb2           1.9 s       21.8 s
   46  Rc2           3.2 s       19.1 s
   47  Ka3           1.6 s       18.0 s
   48  cxb4          1.3 s       17.2 s
   49  Rc5+          0.9 s       16.8 s
   50  Kb3           1.0 s       16.3 s
   51  Rc3           1.0 s       15.8 s
   52  Rc2           0.4 s       15.9 s
   53  b5            1.7 s       14.7 s
   54  Kc3           0.4 s       14.8 s
   55  Kd3           0.9 s       14.4 s
   56  Ke2           1.0 s       13.9 s
   57  Kf3           0.4 s       14.0 s
   58  Kg2           2.1 s       12.3 s
   59  b6            0.7 s       12.1 s
   60  Rc8           0.2 s       12.4 s
   61  Re8+          0.2 s       12.7 s
   62  Rf8+          0.5 s       12.7 s
