AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Practice round 15
  Team           catfish
  Colour         Black
  Opponent       slopfish
  Opening        Reti Opening
  Start FEN      rnbqk2r/ppp1bppp/4pn2/8/2Pp4/4PNP1/PPQP1PBP/RNB1K2R b KQkq - 0 6
  You moved      First
  Machine        w-2f0760
  Finished       2026-09-12 12:07:16 UTC
  Match ID       833a9716-03c2-4178-bb49-f596642ab6d1

INIT
  Ready in       23.2 s
  Budget         30.0 s
  Used           77 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          105
  Time used      165.0 s
  Slowest        7.0 s on move 1
  Fastest        0.0 s on move 63
  Average        1.6 s
  Left at end    7.5 s

RESULT
  Drawn by insufficient material
  Game lasted 332.5 s

MOVES
    #  move          time     clock left
    1  c5            7.0 s      113.5 s
    2  cxd4          1.6 s      112.5 s
    3  Nc6           1.0 s      112.0 s
    4  h6            4.8 s      107.7 s
    5  Bxf6          0.8 s      107.4 s
    6  O-O           4.0 s      103.9 s
    7  a5            2.8 s      101.6 s
    8  Bd7           3.1 s       99.0 s
    9  b5            3.0 s       96.5 s
   10  Qxb6          3.6 s       93.5 s
   11  Qb8           1.3 s       92.7 s
   12  Rc8           2.0 s       91.2 s
   13  Be7           1.4 s       90.3 s
   14  Be8           2.9 s       87.9 s
   15  Bf8           1.1 s       87.3 s
   16  Ra6           0.9 s       86.9 s
   17  Qc7           4.4 s       83.0 s
   18  Rb8           5.2 s       78.2 s
   19  Qd8           1.2 s       77.5 s
   20  Ne7           3.3 s       74.7 s
   21  a4            1.5 s       73.7 s
   22  f6            1.5 s       72.7 s
   23  Kh7           4.6 s       68.6 s
   24  Ng6           1.0 s       68.0 s
   25  Be7           3.7 s       64.9 s
   26  Rb5           2.0 s       63.4 s
   27  Qd7           4.5 s       59.4 s
   28  e5            1.9 s       57.9 s
   29  Ra7           2.0 s       56.4 s
   30  Nf8           1.7 s       55.2 s
   31  Qd5           2.2 s       53.5 s
   32  Bd7           2.0 s       52.0 s
   33  Nxd7          1.6 s       50.9 s
   34  Bf8           3.3 s       48.1 s
   35  Rab7          1.7 s       46.9 s
   36  Nxe5          1.7 s       45.7 s
   37  Qxe5          1.3 s       44.8 s
   38  Rxe5          1.6 s       43.7 s
   39  Reb5          2.1 s       42.1 s
   40  Kg6           1.9 s       40.7 s
   41  Rd5           2.2 s       39.0 s
   42  Rc5           1.7 s       37.8 s
   43  Rxc2          1.8 s       36.5 s
   44  Rb3           1.2 s       35.8 s
   45  Rxd3          3.0 s       33.3 s
   46  Bd6           1.2 s       32.6 s
   47  Rb3           1.6 s       31.5 s
   48  Rxb2          1.5 s       30.5 s
   49  Rb3+          0.6 s       30.4 s
   50  Rxa3          1.2 s       29.7 s
   51  Bxa3          2.1 s       28.1 s
   52  Bd6           0.9 s       27.8 s
   53  Be5           1.1 s       27.2 s
   54  h5            1.4 s       26.2 s
   55  hxg4+         3.3 s       23.4 s
   56  Kh7           2.6 s       21.3 s
   57  Bc7           0.8 s       21.0 s
   58  Ba5           0.9 s       20.5 s
   59  Be1           1.0 s       20.0 s
   60  Kh6           1.2 s       19.3 s
   61  Bd2           0.6 s       19.2 s
   62  Bg5           4.1 s       15.6 s
   63  Kh7           0.0 s       16.1 s
   64  Bd2           0.4 s       16.2 s
   65  Kg8           1.2 s       15.5 s
   66  Bc3           0.8 s       15.2 s
   67  Be5           1.0 s       14.7 s
   68  Bb2           0.3 s       15.0 s
   69  Ba3           0.6 s       14.8 s
   70  Bc1           0.7 s       14.6 s
   71  Kf7           0.5 s       14.7 s
   72  Bh6           0.7 s       14.4 s
   73  Bg5           0.7 s       14.2 s
   74  Kg8           0.4 s       14.4 s
   75  Kh8           0.8 s       14.1 s
   76  Bc1           0.4 s       14.2 s
   77  Bb2           0.9 s       13.8 s
   78  Kh7           0.6 s       13.7 s
   79  Bc3           0.5 s       13.7 s
   80  Ba5           0.7 s       13.5 s
   81  Bb4           0.7 s       13.3 s
   82  Kg8           0.6 s       13.3 s
   83  Kh8           1.2 s       12.5 s
   84  Ba5           0.9 s       12.1 s
   85  Bd2           0.9 s       11.8 s
   86  Kh7           0.5 s       11.8 s
   87  Bc1           2.4 s        9.8 s
   88  Be3           0.7 s        9.7 s
   89  Bb6           0.6 s        9.5 s
   90  Kg8           1.0 s        9.1 s
   91  Kf8           1.7 s        7.8 s
   92  gxh6          1.1 s        7.2 s
   93  h5            0.2 s        7.5 s
   94  Bf2           0.8 s        7.2 s
   95  Bd4           0.2 s        7.5 s
   96  f5            0.6 s        7.5 s
   97  f4            1.5 s        6.5 s
   98  Be5           0.3 s        6.7 s
   99  Bb8           0.3 s        6.9 s
  100  f3            0.2 s        7.2 s
  101  Kg8           0.6 s        7.1 s
  102  f2            0.3 s        7.3 s
  103  Ba7           0.5 s        7.3 s
  104  Bc5           0.4 s        7.4 s
  105  Bxf2          0.4 s        7.5 s

OUTPUT
  7,260 bytes on stderr

  init: native engine still compiling after 22.6s
  native engine ready after 27.0s
  compile wait 4290 ms in get_move: native engine ready
  nativesearch c7c5 depth 15 score 33 nodes 1476138 2662ms clock 115710
  nativesearch c5d4 depth 15 score 44 nodes 893908 1581ms clock 113539
  nativesearch b8c6 depth 14 score 46 nodes 558311 972ms clock 112456
