AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Qualifier round 55
  Team           catfish
  Colour         White
  Opponent       Amplifirm
  Opening        Sicilian Closed
  Start FEN      r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/2NP2PP/PPP1NPB1/R1BQK2R b KQkq - 1 7
  You moved      Second
  Machine        w-4005df
  Finished       2026-09-07 16:08:10 UTC
  Match ID       d79a3bfb-0d03-4892-8a34-ad2705b6f46f

INIT
  Ready in       48.1 s
  Budget         90.0 s
  Used           53 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          129
  Time used      177.3 s
  Slowest        27.7 s on move 1
  Fastest        0.1 s on move 125
  Average        1.4 s
  Left at end    7.2 s

RESULT
  Drawn by fifty moves
  Game lasted 356.2 s

MOVES
    #  move          time     clock left
    1  Nd5          27.7 s       92.8 s
    2  exd5          1.9 s       91.3 s
    3  Nxd4          0.8 s       91.0 s
    4  c3            2.0 s       89.5 s
    5  bxc3          1.3 s       88.6 s
    6  h4            2.8 s       86.4 s
    7  h5            2.0 s       84.8 s
    8  Be4           1.8 s       83.5 s
    9  h6            3.0 s       81.0 s
   10  Rb1           0.9 s       80.6 s
   11  fxg3          2.6 s       78.4 s
   12  dxe4          1.4 s       77.5 s
   13  Qe2           2.4 s       75.6 s
   14  Be3           3.5 s       72.6 s
   15  Kd2           2.3 s       70.8 s
   16  Kd3           3.0 s       68.3 s
   17  Rhf1          2.8 s       66.1 s
   18  a4            3.4 s       63.2 s
   19  Rxf7          1.3 s       62.4 s
   20  Rg1           1.3 s       61.7 s
   21  Qg2           3.0 s       59.1 s
   22  Qe2           3.3 s       56.3 s
   23  Qc2           1.0 s       55.9 s
   24  Qb3           2.4 s       54.0 s
   25  Qd1           2.0 s       52.5 s
   26  Ke2           3.6 s       49.4 s
   27  g4            1.8 s       48.1 s
   28  Rf1           5.6 s       43.0 s
   29  Rxf6          2.2 s       41.4 s
   30  Qf1           1.5 s       40.4 s
   31  Kd3           0.6 s       40.3 s
   32  Qf5           1.7 s       39.0 s
   33  exf5          2.9 s       36.7 s
   34  Ke4           1.2 s       35.9 s
   35  c4            1.3 s       35.1 s
   36  Bd2           1.1 s       34.5 s
   37  Bb4           1.5 s       33.5 s
   38  Bc3           1.4 s       32.6 s
   39  Bd2           1.3 s       31.7 s
   40  Bb4           1.5 s       30.8 s
   41  Ba3           2.3 s       29.0 s
   42  Bb2           1.4 s       28.1 s
   43  Bc1           1.6 s       27.0 s
   44  Be3           1.2 s       26.3 s
   45  Bd2           1.6 s       25.2 s
   46  Be3           2.1 s       23.6 s
   47  Kf3           2.4 s       21.7 s
   48  Bc1           1.8 s       20.4 s
   49  Ba3           1.2 s       19.6 s
   50  Ke3           0.6 s       19.6 s
   51  Ke4           1.3 s       18.8 s
   52  Bc1           1.4 s       17.9 s
   53  Be3           0.6 s       17.8 s
   54  Bf2           1.4 s       16.9 s
   55  Be1           0.9 s       16.4 s
   56  Bg3           0.7 s       16.2 s
   57  Kd3           1.5 s       15.2 s
   58  Be1           1.2 s       14.5 s
   59  Ke4           0.6 s       14.4 s
   60  Bc3           2.0 s       12.9 s
   61  Bb2           0.3 s       13.0 s
   62  Kd3           0.3 s       13.2 s
   63  Ke3           0.9 s       12.8 s
