AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Qualifier round 56
  Team           catfish
  Colour         Black
  Opponent       No More Ammo
  Opening        Petroff Defence
  Start FEN      rnbqkb1r/pp3ppp/2p5/3p4/3Pn3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 7
  You moved      First
  Machine        w-0a44b0
  Finished       2026-09-07 17:09:13 UTC
  Match ID       b80e15cf-f385-41d2-a3fe-43429b9dccef

INIT
  Ready in       40.5 s
  Budget         90.0 s
  Used           45 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          194
  Time used      207.6 s
  Slowest        23.1 s on move 1
  Fastest        0.0 s on move 194
  Average        1.1 s
  Left at end    9.4 s

RESULT
  Drawn by fifty moves
  Game lasted 417.2 s

MOVES
    #  move          time     clock left
    1  Bd6          23.1 s       97.4 s
    2  O-O           1.0 s       96.9 s
    3  Re8           1.6 s       95.8 s
    4  Bf5           1.3 s       95.0 s
    5  h6            2.1 s       93.4 s
    6  Bh7           1.4 s       92.5 s
    7  c5            3.0 s       90.0 s
    8  c4            3.8 s       86.7 s
    9  dxe4          3.3 s       83.9 s
   10  Bxe4          4.1 s       80.4 s
   11  Bf8           2.3 s       78.6 s
   12  Bh7           2.2 s       76.9 s
   13  Nd7           2.9 s       74.4 s
   14  Rc8           3.9 s       71.1 s
   15  b5            3.7 s       67.8 s
   16  Nb6           3.5 s       64.9 s
   17  Qd5           5.5 s       59.9 s
   18  Qf5           2.0 s       58.4 s
   19  Bxf5          1.4 s       57.5 s
   20  Bd6           1.7 s       56.3 s
   21  Na4           4.9 s       51.9 s
   22  a5            1.5 s       50.9 s
   23  Rxe1          4.2 s       47.2 s
   24  Re8           2.6 s       45.1 s
   25  b4            2.0 s       43.5 s
   26  axb4          1.3 s       42.7 s
   27  b3            1.8 s       41.4 s
   28  Bd3           1.2 s       40.6 s
   29  Bxf4          2.1 s       39.1 s
   30  Rb8           1.5 s       38.1 s
   31  Rb6           7.5 s       31.1 s
   32  Rb5           3.7 s       27.9 s
   33  Bc2           2.7 s       25.6 s
   34  Be4+          0.6 s       25.5 s
   35  Bd3           1.6 s       24.4 s
   36  Nxc3          0.9 s       24.1 s
   37  Bxc4          1.6 s       23.0 s
   38  Be6           1.6 s       21.9 s
   39  Bxd7          1.5 s       20.9 s
   40  Ne2           1.3 s       20.1 s
   41  Rb4           0.8 s       19.8 s
   42  Re4           3.2 s       17.1 s
   43  Nf4           2.1 s       15.5 s
   44  Nh5+          2.7 s       13.2 s
   45  Rf4+          2.4 s       11.3 s
   46  Rxf5          0.5 s       11.3 s
   47  Nf6           0.6 s       11.2 s
   48  Ng4+          0.5 s       11.2 s
   49  Nh6           0.5 s       11.3 s
   50  Kh7           1.0 s       10.8 s
   51  Ra5           0.6 s       10.7 s
   52  Ra2+          0.3 s       10.9 s
   53  Ra3+          0.3 s       11.1 s
   54  Ng8           0.6 s       11.0 s
   55  Ra1           0.6 s       11.0 s
   56  Nf6           0.4 s       11.0 s
   57  Rf1+          1.3 s       10.2 s
   58  Nd5+          1.7 s        9.0 s
   59  Nb4           0.3 s        9.2 s
   60  Re1+          1.3 s        8.3 s
   61  Rb1           1.5 s        7.4 s
   62  Rb3+          1.0 s        6.9 s
   63  f5+           0.2 s        7.1 s
   64  Nd3           0.1 s        7.5 s
   65  Rxb5+         0.2 s        7.8 s
   66  Nc5+          0.3 s        7.9 s
   67  Ne6           0.3 s        8.2 s
   68  Nf8           0.8 s        7.9 s
   69  Ng6           0.6 s        7.8 s
   70  Ne5+          0.2 s        8.1 s
   71  Nf7           0.9 s        7.7 s
   72  Rb2+          1.4 s        6.8 s
   73  Rb3           0.2 s        7.1 s
   74  Nh6           0.2 s        7.4 s
   75  Rb4           0.6 s        7.3 s
   76  Ng8           1.5 s        6.4 s
   77  Rb3           0.9 s        6.0 s
   78  Nf6           0.8 s        5.6 s
   79  Ra3           0.4 s        5.7 s
   80  Kg8           0.9 s        5.3 s
   81  Ra4           0.4 s        5.5 s
   82  Kh7           0.5 s        5.5 s
   83  Ra7           1.1 s        4.9 s
   84  Ng8           0.3 s        5.1 s
   85  Ra2           0.8 s        4.8 s
   86  Ra6           0.3 s        5.0 s
   87  Ra1           0.4 s        5.1 s
   88  Rb1           0.3 s        5.3 s
   89  Rb3+          0.4 s        5.4 s
   90  Nh6           1.0 s        4.9 s
   91  Rb1           0.6 s        4.8 s
   92  Re1+          0.4 s        4.9 s
   93  Nf5           0.4 s        5.0 s
   94  Kh6           0.2 s        5.4 s
   95  Re2           0.2 s        5.7 s
   96  Ne3+          0.8 s        5.3 s
   97  Kxh5          0.5 s        5.3 s
   98  Kg6           1.0 s        4.8 s
   99  Nf5           0.4 s        5.0 s
  100  Re3           0.5 s        5.0 s
  101  Re4           0.2 s        5.3 s
  102  Re6+          0.4 s        5.4 s
  103  Re2           0.3 s        5.6 s
  104  Kf6           0.7 s        5.4 s
  105  Rb2+          0.2 s        5.7 s
  106  Rc2           0.4 s        5.9 s
  107  Kf7           0.2 s        6.1 s
  108  Re2           0.6 s        6.1 s
