AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Rated 72
  Team           catfish
  Colour         White
  Opponent       AI Fellows
  Opening        Nimzo-Indian Defence
  Start FEN      rnbq1rk1/pp3ppp/4pn2/2p5/1bBP4/2N1P2P/PP3PP1/R1BQK1NR w KQ - 0 8
  You moved      First
  Machine        w-e72a35
  Finished       2026-09-08 18:10:45 UTC
  Match ID       bd0b6c32-2711-42a8-aae4-44696e293c91

INIT
  Ready in       26.5 s
  Budget         90.0 s
  Used           29 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          247
  Time used      237.3 s
  Slowest        12.4 s on move 21
  Fastest        0.0 s on move 27
  Average        1.0 s
  Left at end    6.2 s

RESULT
  Drawn by insufficient material
  Game lasted 478.5 s

MOVES
    #  move          time     clock left
    1  Ne2           2.1 s      118.4 s
    2  Bd3           3.0 s      115.9 s
    3  O-O           3.6 s      112.8 s
    4  exd4          3.2 s      110.1 s
    5  Re1           2.6 s      108.0 s
    6  a3            1.3 s      107.2 s
    7  Bf4           3.1 s      104.5 s
    8  Qb1           3.2 s      101.8 s
    9  Rd1           2.6 s       99.8 s
   10  Bxe2          1.1 s       99.2 s
   11  Bb5           2.4 s       97.3 s
   12  Nxd5          1.8 s       96.0 s
   13  Bd3           4.6 s       91.9 s
   14  Qc2           1.1 s       91.3 s
   15  Bc4           6.1 s       85.7 s
   16  Rxd1          1.7 s       84.5 s
   17  Qa4           2.4 s       82.6 s
   18  Qxa6          2.5 s       80.6 s
   19  Bxe6+         2.3 s       78.8 s
   20  Bd5          11.3 s       68.0 s
   21  Qxa7         12.4 s       56.1 s
   22  Bf3           4.4 s       52.2 s
   23  Re1           1.4 s       51.3 s
   24  Qe7           5.6 s       46.2 s
   25  Qe6           2.1 s       44.6 s
   26  Bh5           2.8 s       42.2 s
   27  Qxe1          0.0 s       42.7 s
   28  g3            0.9 s       42.3 s
   29  Qxc1          5.5 s       37.3 s
   30  a4            0.8 s       37.0 s
   31  Bg6           1.9 s       35.7 s
   32  Bxf5          1.6 s       34.6 s
   33  Bg6           1.3 s       33.7 s
   34  Kf1           1.4 s       32.8 s
   35  Bh5           0.7 s       32.6 s
   36  Be2           2.1 s       31.0 s
   37  Bg4           0.6 s       30.9 s
   38  Bd1           1.4 s       29.9 s
   39  h4            2.4 s       28.0 s
   40  Bc2           1.0 s       27.6 s
   41  h5            1.9 s       26.2 s
   42  Bg6           0.6 s       26.1 s
   43  f4            1.4 s       25.2 s
   44  Bc2           0.7 s       25.1 s
   45  Be4           1.2 s       24.4 s
   46  Ke2           1.4 s       23.5 s
   47  Kd1           0.7 s       23.2 s
   48  Ke1           1.3 s       22.4 s
   49  Kf2           0.9 s       22.1 s
   50  Bb1           2.3 s       20.3 s
   51  Bd3           1.1 s       19.7 s
   52  Kf1           0.3 s       19.9 s
   53  Bg6           1.1 s       19.3 s
   54  Bh7           1.0 s       18.8 s
   55  Bf5           0.9 s       18.4 s
   56  Bb1           3.9 s       15.0 s
   57  Bd3           1.5 s       14.0 s
   58  Bg6           1.6 s       12.9 s
   59  Bc2           0.4 s       13.0 s
   60  Kf2           0.5 s       13.0 s
   61  Bb1           0.5 s       12.9 s
   62  Ke2           0.3 s       13.2 s
   63  Bf5           0.7 s       13.0 s
   64  Kd1           0.5 s       13.0 s
   65  Bh7           0.9 s       12.6 s
   66  Ke2           0.4 s       12.7 s
   67  Kf1           2.6 s       10.6 s
   68  Be4           0.7 s       10.4 s
   69  Bd3           0.6 s       10.3 s
   70  Bc2           1.0 s        9.8 s
   71  Ke2           0.5 s        9.8 s
   72  Bd3           0.2 s       10.0 s
   73  Kf2           2.5 s        8.1 s
   74  Be4           0.8 s        7.7 s
   75  Bd3           1.7 s        6.6 s
   76  Bb5           0.7 s        6.4 s
   77  Kf1           0.5 s        6.4 s
   78  Be8           0.5 s        6.4 s
   79  Bc6           0.5 s        6.3 s
