AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Qualifier round 85
  Team           catfish
  Colour         White
  Opponent       pheanup
  Opening        Nimzo-Indian Defence
  Start FEN      rnbq1rk1/pp3ppp/4pn2/b1p5/2BP4/P1N1P2P/1P3PP1/R1BQK1NR w KQ - 1 9
  You moved      First
  Machine        w-4ddd0e
  Finished       2026-09-09 16:07:30 UTC
  Match ID       a8f6b1d1-2b0d-4446-bb7e-34feb5e28c76

INIT
  Ready in       27.8 s
  Budget         90.0 s
  Used           31 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          102
  Time used      163.3 s
  Slowest        9.1 s on move 21
  Fastest        0.0 s on move 43
  Average        1.6 s
  Left at end    7.7 s

RESULT
  Lost by checkmate
  Game lasted 328.3 s

MOVES
    #  move          time     clock left
    1  Nf3           7.0 s      113.5 s
    2  Be2           2.4 s      111.6 s
    3  Nxd4          3.4 s      108.7 s
    4  bxc3          3.9 s      105.3 s
    5  Qc2           3.4 s      102.4 s
    6  Nb3           1.2 s      101.6 s
    7  O-O           3.2 s       99.0 s
    8  c4            2.2 s       97.2 s
    9  Bb2           5.1 s       92.6 s
   10  Rfc1          2.2 s       90.9 s
   11  Nd2           1.4 s       90.0 s
   12  Bc3           4.4 s       86.1 s
   13  Nxc4          3.9 s       82.7 s
   14  Qxc3          2.5 s       80.7 s
   15  Qe1           4.5 s       76.7 s
   16  Rc2           2.2 s       75.0 s
   17  Rac1          1.6 s       73.9 s
   18  Bf1           4.1 s       70.3 s
   19  Rb2           3.5 s       67.2 s
   20  Qe2           1.7 s       66.0 s
   21  Rbc2          9.1 s       57.5 s
   22  a4            1.1 s       56.9 s
   23  Rb2           8.6 s       48.8 s
   24  Qf3           2.4 s       47.0 s
   25  Rb7           2.2 s       45.3 s
   26  Rxa7          4.1 s       41.7 s
   27  Qg3           2.9 s       39.3 s
   28  Qd6           2.5 s       37.3 s
   29  Nxd6          5.7 s       32.1 s
   30  Rxf7+         4.0 s       28.6 s
   31  Rxf6          1.2 s       27.9 s
   32  Rxg6+         2.0 s       26.4 s
   33  Rf6           5.2 s       21.6 s
   34  g4            1.3 s       20.9 s
   35  Nf5           1.3 s       20.1 s
   36  Kh2           0.9 s       19.7 s
   37  Rh6+          1.5 s       18.7 s
   38  Rxh4          1.9 s       17.3 s
   39  Rh5           0.5 s       17.3 s
   40  Rg5+          1.2 s       16.6 s
   41  Nh4           2.7 s       14.4 s
   42  Rf5           0.3 s       14.6 s
   43  Kg3           0.0 s       15.1 s
   44  Kf4           1.7 s       13.9 s
   45  Re5+          1.0 s       13.4 s
   46  Rd5+          2.5 s       11.4 s
   47  Nxf3          0.5 s       11.4 s
   48  Kxe4          2.1 s        9.8 s
   49  Ke5           2.0 s        8.3 s
   50  Rd4           1.0 s        7.8 s
   51  Rd6+          1.2 s        7.1 s
   52  Rd3           1.4 s        6.2 s
   53  Kf4           0.4 s        6.3 s
   54  Kg5           1.3 s        5.4 s
   55  Kf5           0.3 s        5.7 s
