AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Rated 95
  Team           catfish
  Colour         Black
  Opponent       pheanup
  Opening        Queen's Indian Defence
  Start FEN      rn1q1rk1/pbp1bppp/1p1ppn2/8/2PP4/PP3NP1/4PPBP/RNBQ1RK1 b - - 0 8
  You moved      First
  Machine        w-ecac47
  Finished       2026-09-10 11:08:50 UTC
  Match ID       17b899b1-50de-4f06-ace0-1c4253dc4909

INIT
  Ready in       29.1 s
  Budget         90.0 s
  Used           32 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          135
  Time used      180.6 s
  Slowest        9.5 s on move 23
  Fastest        0.2 s on move 76
  Average        1.3 s
  Left at end    6.9 s

RESULT
  Drawn by threefold repetition
  Game lasted 366.2 s

MOVES
    #  move          time     clock left
    1  d5            4.4 s      116.1 s
    2  exd5          3.7 s      112.9 s
    3  Nbd7          3.1 s      110.3 s
    4  Re8           4.2 s      106.6 s
    5  Nf8           1.6 s      105.5 s
    6  c6            1.8 s      104.2 s
    7  Ne6           3.5 s      101.1 s
    8  b5            2.4 s       99.3 s
    9  a5            2.4 s       97.4 s
   10  Bxf6          0.9 s       97.0 s
   11  h6            3.7 s       93.8 s
   12  Qd6           1.7 s       92.5 s
   13  g5            4.2 s       88.9 s
   14  hxg5          2.5 s       86.8 s
   15  Ra6           4.6 s       82.7 s
   16  Rea8          2.2 s       81.0 s
   17  Bd8           3.0 s       78.5 s
   18  Bc8           3.0 s       76.0 s
   19  Bd7           5.3 s       71.3 s
   20  axb4          3.1 s       68.7 s
   21  Rxa1          6.7 s       62.5 s
   22  Rxa1          2.6 s       60.5 s
   23  Bf6           9.5 s       51.5 s
   24  Nd8           1.7 s       50.3 s
   25  Qxd7          4.1 s       46.7 s
   26  Qf5           3.1 s       44.1 s
   27  Be7           2.0 s       42.6 s
   28  Kf8           1.4 s       41.7 s
   29  Ke8           2.6 s       39.6 s
   30  Bd6           1.4 s       38.6 s
   31  Qg4+          0.9 s       38.2 s
   32  Qf5           1.8 s       37.0 s
   33  Qh7           1.6 s       35.9 s
   34  Qf5           2.2 s       34.1 s
   35  Qe4           1.4 s       33.3 s
   36  Qh7           0.6 s       33.2 s
   37  Qh2           2.8 s       30.9 s
   38  Qh5           1.9 s       29.4 s
   39  Qe2           1.6 s       28.3 s
   40  Ne6           0.8 s       28.0 s
   41  Nd8           1.4 s       27.2 s
   42  Qd1           0.7 s       27.0 s
   43  Ne6           1.7 s       25.8 s
   44  Qf1           2.1 s       24.1 s
   45  Ke7           1.3 s       23.3 s
   46  Qh1           1.0 s       22.8 s
   47  Qh8           1.3 s       21.9 s
   48  Qa8           0.7 s       21.8 s
   49  Qc8           1.0 s       21.3 s
   50  Qa8           0.7 s       21.0 s
   51  Qf8           0.8 s       20.8 s
   52  Ke8           0.6 s       20.6 s
   53  Qe7           0.9 s       20.3 s
   54  Kd8           0.5 s       20.3 s
   55  Ng7           1.3 s       19.5 s
   56  Ne8           1.3 s       18.7 s
   57  Kd7           2.7 s       16.5 s
   58  Kd8           1.1 s       15.9 s
   59  Qf6           1.1 s       15.3 s
   60  Bf8           2.0 s       13.8 s
   61  Nd6           2.7 s       11.6 s
   62  Kc8           0.5 s       11.6 s
   63  Be7           0.8 s       11.3 s
   64  Nc4           0.5 s       11.3 s
   65  Bxf6          0.3 s       11.5 s
   66  Be7           0.9 s       11.1 s
   67  Bf6           0.7 s       10.9 s
   68  Kd7           0.7 s       10.7 s
   69  Kc7           1.0 s       10.2 s
   70  dxe4          1.2 s        9.5 s
   71  Kd8           0.5 s        9.5 s
   72  Ke8           0.7 s        9.4 s
   73  Be7           1.1 s        8.8 s
   74  Kd7           1.7 s        7.6 s
   75  Kd8           1.1 s        6.9 s
   76  f6            0.2 s        7.3 s
   77  Kc8           0.5 s        7.3 s
   78  Na3           0.6 s        7.2 s
   79  Nc4           0.5 s        7.2 s
   80  Nd6           0.5 s        7.2 s
   81  Nc4           0.5 s        7.2 s
   82  Kc7           0.6 s        7.1 s
   83  Kc8           0.5 s        7.1 s
   84  Bd8           0.3 s        7.3 s
   85  Bb6           0.7 s        7.0 s
   86  Kd8           0.4 s        7.1 s
   87  Kc7           0.4 s        7.2 s
   88  Kc8           0.4 s        7.3 s
   89  Kd8           0.3 s        7.6 s
   90  Ke7           0.4 s        7.6 s
   91  Kd6           0.2 s        7.9 s
   92  Ke7           0.5 s        8.0 s
   93  Kd6           0.7 s        7.8 s
   94  Ke7           0.7 s        7.6 s
   95  Kd6           0.5 s        7.7 s
   96  Nxd2          0.4 s        7.7 s
   97  Ke7           0.4 s        7.8 s
   98  Bc7           0.9 s        7.4 s
   99  Bb6           0.2 s        7.6 s
  100  Ke8           0.6 s        7.6 s
  101  Ke7           0.5 s        7.6 s
  102  Bc7           0.5 s        7.5 s
