AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Rated 101
  Team           catfish
  Colour         Black
  Opponent       THE ROOOOOKKK!!!!
  Opening        French Tarrasch
  Start FEN      rnbqkb1r/pp3ppp/5n2/2pp4/3P4/8/PPPNBPPP/R1BQK1NR w KQkq - 2 6
  You moved      Second
  Machine        w-d5eece
  Finished       2026-09-10 17:08:52 UTC
  Match ID       c8ec8a68-97cb-44cc-8a7f-516cf417413e

INIT
  Ready in       26.3 s
  Budget         90.0 s
  Used           29 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          183
  Time used      204.4 s
  Slowest        6.1 s on move 22
  Fastest        0.0 s on move 183
  Average        1.1 s
  Left at end    7.1 s

RESULT
  Drawn by fifty moves
  Game lasted 410.3 s

MOVES
    #  move          time     clock left
    1  Be7           5.8 s      114.7 s
    2  O-O           2.4 s      112.8 s
    3  Bxc5          1.0 s      112.3 s
    4  dxc4          4.2 s      108.6 s
    5  Nc6           1.5 s      107.6 s
    6  Bxe3          1.3 s      106.8 s
    7  Be6           4.2 s      103.1 s
    8  Qb6           2.9 s      100.7 s
    9  Bxc4          2.0 s       99.3 s
   10  Qb5           3.5 s       96.2 s
   11  Rfd8          4.2 s       92.6 s
   12  Rxd1          4.0 s       89.0 s
   13  Rd8           4.5 s       85.0 s
   14  Nxd8          2.2 s       83.3 s
   15  Qd5           1.1 s       82.7 s
   16  Qc6           4.6 s       78.5 s
   17  Ne6           2.7 s       76.3 s
   18  Qc5           1.7 s       75.1 s
   19  Qc6           4.2 s       71.4 s
   20  gxf6          2.3 s       69.6 s
   21  Qxc3          2.6 s       67.5 s
   22  Kf8           6.1 s       61.9 s
   23  Ke7           4.0 s       58.4 s
   24  Kd6           2.9 s       56.0 s
   25  Nc5+          3.1 s       53.4 s
   26  f5            2.5 s       51.3 s
   27  b6            2.3 s       49.6 s
   28  Ne6+          5.0 s       45.1 s
   29  Nc5+          0.9 s       44.7 s
   30  Ne6           0.9 s       44.4 s
   31  a6            2.2 s       42.7 s
   32  Nc5+          1.1 s       42.1 s
   33  Ne6+          2.1 s       40.5 s
   34  h5            1.9 s       39.2 s
   35  Nc5+          0.8 s       38.9 s
   36  Ne6+          1.1 s       38.3 s
   37  a5            1.4 s       37.4 s
   38  Kc6           1.8 s       36.0 s
   39  a4            1.9 s       34.7 s
   40  Kc5           1.1 s       34.1 s
   41  Ng5           3.0 s       31.6 s
   42  Nh3           1.4 s       30.7 s
   43  f4+           0.8 s       30.4 s
   44  Nf2+          1.0 s       29.8 s
   45  fxg3          0.8 s       29.5 s
   46  f5            5.2 s       24.8 s
   47  Ne4+          4.6 s       20.7 s
   48  fxe4          1.0 s       20.3 s
   49  e3            1.0 s       19.7 s
   50  Kd6           0.4 s       19.8 s
   51  Ke5           0.6 s       19.7 s
   52  Kxf6          0.4 s       19.8 s
   53  Kg6           0.5 s       19.8 s
   54  Kg5           0.9 s       19.4 s
   55  Kg4           1.9 s       18.0 s
   56  Kxg3          0.6 s       17.9 s
   57  h4            2.8 s       15.7 s
   58  h3            3.3 s       12.9 s
   59  h2            2.6 s       10.8 s
   60  h1=Q          2.3 s        9.0 s
   61  Qb1+          1.8 s        7.6 s
   62  Qe1+          0.2 s        8.0 s
   63  Qe4+          0.5 s        8.0 s
   64  Qe1+          1.7 s        6.8 s
   65  Qb1+          1.1 s        6.2 s
   66  Qg1+          0.9 s        5.8 s
   67  Qd4           0.5 s        5.7 s
   68  Kg2           0.2 s        6.0 s
   69  Kg3           0.5 s        6.0 s
   70  Kh2           1.0 s        5.5 s
   71  Kg3           0.4 s        5.6 s
   72  Qd8+          0.2 s        5.9 s
   73  Qd4           0.4 s        6.0 s
   74  Kh3           0.7 s        5.8 s
   75  Qd5+          0.3 s        6.0 s
   76  Qd3+          0.4 s        6.1 s
   77  Qe3+          0.2 s        6.4 s
   78  Qe7+          0.2 s        6.7 s
   79  Qe2+          0.8 s        6.5 s
   80  Qe7+          1.6 s        5.4 s
   81  Qe4+          0.4 s        5.5 s
   82  Qe7+          0.2 s        5.8 s
   83  Qb4+          0.3 s        6.0 s
   84  Qd4           0.3 s        6.2 s
   85  Kh4           0.3 s        6.3 s
   86  Qc4+          0.3 s        6.6 s
   87  Qb4+          0.6 s        6.5 s
   88  Qa4+          1.2 s        5.7 s
   89  Qe4+          1.2 s        5.1 s
   90  Qc2+          0.3 s        5.2 s
   91  Qb2+          1.0 s        4.7 s
   92  Qc3+          0.9 s        4.3 s
   93  Qb4+          0.2 s        4.6 s
   94  Qb8+          0.9 s        4.2 s
   95  Qe8+          0.8 s        3.9 s
   96  Qf7+          0.1 s        4.3 s
   97  Qb3+          0.2 s        4.6 s
   98  Qd3           0.9 s        4.2 s
   99  Kh5           0.5 s        4.3 s
  100  Qa6+          0.7 s        4.0 s
  101  Qc8+          0.6 s        4.0 s
  102  Qd7+          0.5 s        4.0 s
  103  Qd3+          0.8 s        3.7 s
  104  Qd8+          0.3 s        3.9 s
  105  Qd4           0.6 s        3.8 s
  106  Qb4+          0.7 s        3.6 s
  107  Qe4+          0.6 s        3.6 s
  108  Kg4           0.3 s        3.8 s
  109  Qe7+          0.2 s        4.1 s
  110  Qe8+          0.5 s        4.1 s
  111  Qe7+          0.4 s        4.2 s
  112  Qb4+          0.3 s        4.4 s
  113  Qf8+          0.6 s        4.3 s
  114  Qf7+          0.7 s        4.1 s
  115  Qc4+          0.2 s        4.3 s
  116  Qb4+          0.8 s        4.0 s
  117  Qd4+          0.1 s        4.4 s
  118  Qg7+          0.4 s        4.4 s
  119  Qg8+          0.4 s        4.5 s
  120  Qg7+          0.4 s        4.6 s
  121  Qb2+          0.7 s        4.4 s
  122  Qh8+          0.1 s        4.8 s
  123  Qh1+          0.6 s        4.7 s
  124  Qd5           1.0 s        4.2 s
  125  Kh4           0.8 s        3.9 s
  126  Kg3           0.7 s        3.7 s
  127  Kf2           0.2 s        4.0 s
  128  Kg1           0.7 s        3.7 s
  129  Qb3+          0.2 s        4.1 s
  130  Qc4+          0.8 s        3.8 s
  131  Qd5+          0.7 s        3.6 s
  132  Qc4           0.3 s        3.8 s
  133  Qd3           0.7 s        3.6 s
  134  Qa3+          0.5 s        3.6 s
  135  Qf3+          0.6 s        3.5 s
  136  Qa8+          0.7 s        3.3 s
  137  Kg2           0.2 s        3.6 s
  138  Kh3           0.8 s        3.3 s
  139  Kg3           0.2 s        3.6 s
  140  Kf2           0.2 s        4.0 s
  141  Kg2           0.8 s        3.7 s
  142  Qh8+          0.3 s        3.9 s
  143  Qg8+          0.2 s        4.1 s
  144  Qg7+          0.3 s        4.3 s
  145  Qf6+          0.8 s        4.0 s
  146  Qf7+          0.2 s        4.3 s
  147  Qf3+          0.8 s        4.0 s
  148  Qd1+          0.8 s        3.7 s
  149  Qc1+          0.7 s        3.5 s
  150  Qb1+          0.1 s        3.8 s
  151  Qa1+          0.7 s        3.7 s
  152  Qd1+          0.1 s        4.0 s
  153  Qg4+          0.2 s        4.3 s
  154  Qd7+          0.2 s        4.7 s
  155  Qd8+          0.5 s        4.7 s
