AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Rated 102
  Team           catfish
  Colour         Black
  Opponent       Miskeen
  Opening        Sicilian Closed
  Start FEN      r1bqk2r/pp2ppbp/2np1np1/2p5/P3P3/2NPB1P1/1PP2PBP/R2QK1NR b KQkq - 0 7
  You moved      First
  Machine        w-75c226
  Finished       2026-09-10 18:07:17 UTC
  Match ID       5319c5a9-bf20-4e5a-a74e-18a3f7812f71

INIT
  Ready in       26.7 s
  Budget         90.0 s
  Used           30 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          102
  Time used      163.9 s
  Slowest        11.9 s on move 25
  Fastest        0.2 s on move 87
  Average        1.6 s
  Left at end    7.1 s

RESULT
  Drawn by fifty moves
  Game lasted 321.8 s

MOVES
    #  move          time     clock left
    1  b6            4.1 s      116.4 s
    2  Bb7           2.1 s      114.7 s
    3  O-O           2.3 s      113.0 s
    4  Qd7           1.9 s      111.6 s
    5  Rad8          1.2 s      110.9 s
    6  Bxh6          1.9 s      109.6 s
    7  Kh8           1.9 s      108.2 s
    8  e6            2.5 s      106.2 s
    9  d5            3.0 s      103.7 s
   10  Ne8           1.3 s      102.9 s
   11  Ba6           1.7 s      101.7 s
   12  Nc7           1.9 s      100.3 s
   13  bxc5          2.3 s       98.5 s
   14  Qe7           1.2 s       97.8 s
   15  Nb4           3.9 s       94.4 s
   16  Bxb5          1.6 s       93.3 s
   17  dxc4          2.2 s       91.6 s
   18  Rxd1+         4.8 s       87.4 s
   19  Rd8           2.9 s       85.0 s
   20  a6            2.1 s       83.4 s
   21  Ncxa6         3.7 s       80.2 s
   22  h5            1.0 s       79.7 s
   23  h4            2.4 s       77.7 s
   24  Nc7           2.2 s       76.0 s
   25  Rg8          11.9 s       64.6 s
   26  Ncd5          2.8 s       62.3 s
   27  fxg6          5.1 s       57.7 s
   28  Nd3           1.4 s       56.8 s
   29  exd5          1.6 s       55.7 s
   30  Nxe5          1.1 s       55.1 s
   31  Qxe5+         5.3 s       50.3 s
   32  Qf6           7.7 s       43.1 s
   33  Rd8           1.8 s       41.8 s
   34  d4            4.2 s       38.0 s
   35  Re8           1.0 s       37.5 s
   36  Qe7           2.0 s       36.0 s
   37  Qe3+          1.8 s       34.7 s
   38  Rxe3          2.2 s       33.0 s
   39  c3            1.7 s       31.7 s
   40  Rxc3          1.6 s       30.6 s
   41  d3            2.2 s       29.0 s
   42  Rc2+          2.0 s       27.4 s
   43  c4            0.7 s       27.3 s
   44  Kg7           1.1 s       26.7 s
   45  Kf8           1.0 s       26.2 s
   46  Rh2           1.2 s       25.5 s
   47  Rxh4          1.3 s       24.7 s
   48  Rh5           0.4 s       24.8 s
   49  Re5           1.3 s       24.0 s
   50  d2            0.9 s       23.6 s
   51  Rf5+          2.4 s       21.7 s
   52  Rg5           1.8 s       20.4 s
   53  Kf7           0.9 s       20.0 s
   54  Ke7           1.5 s       19.1 s
   55  Ke6           0.6 s       19.0 s
   56  Kd6           1.1 s       18.4 s
   57  Ke7           0.6 s       18.3 s
   58  Rh5+          0.4 s       18.4 s
   59  Rg5+          0.6 s       18.3 s
   60  Rh5+          1.8 s       16.9 s
   61  Rg5+          0.7 s       16.8 s
   62  Rb5           1.1 s       16.2 s
   63  Rb1+          0.6 s       16.1 s
   64  Rb2+          0.8 s       15.8 s
   65  Kf7           1.1 s       15.2 s
   66  Rb4           1.2 s       14.6 s
   67  Ke6           0.5 s       14.6 s
   68  Kf7           1.4 s       13.7 s
   69  Ke6           1.9 s       12.3 s
   70  Rb5           0.3 s       12.5 s
   71  Rg5           1.2 s       11.7 s
   72  Kd7           0.5 s       11.8 s
   73  Rh5+          1.1 s       11.2 s
   74  Rg5+          0.6 s       11.1 s
   75  Ke7           0.8 s       10.8 s
   76  Ke6           0.6 s       10.7 s
   77  Re5           0.5 s       10.7 s
   78  Ke7           1.8 s        9.4 s
   79  Re4           0.9 s        9.1 s
   80  Rg4           0.9 s        8.6 s
   81  Rg3           1.0 s        8.1 s
   82  Rg4           0.8 s        7.7 s
   83  Ke6           0.6 s        7.6 s
   84  Ke5           0.5 s        7.6 s
   85  Rg5           0.9 s        7.2 s
   86  Rf5+          0.4 s        7.3 s
   87  Kd6           0.2 s        7.6 s
   88  Kc7           0.7 s        7.4 s
   89  Kb6           0.7 s        7.2 s
   90  Kc5           0.2 s        7.5 s
   91  Rf8           0.8 s        7.2 s
   92  Kd5           1.1 s        6.7 s
   93  Kc6           0.5 s        6.7 s
