AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Qualifier round 103
  Team           catfish
  Colour         White
  Opponent       RMFE
  Opening        English Symmetrical
  Start FEN      r1bq1rk1/pp1pppbp/2n2np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 0 7
  You moved      Second
  Machine        w-4e8c1d
  Finished       2026-09-10 19:08:34 UTC
  Match ID       913e5163-7dd5-448b-becd-d02b16f06aa3

INIT
  Ready in       27.8 s
  Budget         90.0 s
  Used           31 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          152
  Time used      187.4 s
  Slowest        7.7 s on move 17
  Fastest        0.0 s on move 87
  Average        1.2 s
  Left at end    8.6 s

RESULT
  Drawn by fifty moves
  Game lasted 379.5 s

MOVES
    #  move          time     clock left
    1  dxc5          4.3 s      116.2 s
    2  Bf4           1.4 s      115.3 s
    3  Qc1           1.3 s      114.5 s
    4  h3            4.6 s      110.4 s
    5  g4            2.0 s      108.9 s
    6  b3            6.0 s      103.4 s
    7  Bd2           2.7 s      101.2 s
    8  Bh6           2.0 s       99.7 s
    9  Bxg7          2.5 s       97.7 s
   10  Qe3           1.3 s       97.0 s
   11  Nb5           2.3 s       95.2 s
   12  Ng5           3.2 s       92.5 s
   13  Rfd1          1.2 s       91.8 s
   14  Nxe6+         1.4 s       91.0 s
   15  Nc3           1.3 s       90.2 s
   16  Qc1           3.5 s       87.2 s
   17  f4            7.7 s       80.0 s
   18  e3            1.7 s       78.7 s
   19  bxc4          5.7 s       73.6 s
   20  Rxd8          6.9 s       67.2 s
   21  Ne4           1.7 s       66.0 s
   22  Qb2           2.3 s       64.2 s
   23  g5            1.5 s       63.2 s
   24  Nxg5          1.0 s       62.7 s
   25  Bxc6          3.1 s       60.2 s
   26  exf4          3.9 s       56.8 s
   27  Re1           1.4 s       55.8 s
   28  Kh2           1.9 s       54.4 s
   29  Qxe5          1.5 s       53.4 s
   30  Ne6           4.1 s       49.8 s
   31  Rxe5          2.5 s       47.8 s
   32  f5+           1.0 s       47.3 s
   33  Ng5+          3.3 s       44.5 s
   34  Rxc5          1.8 s       43.2 s
   35  Re5           3.5 s       40.2 s
   36  Kg3           2.6 s       38.1 s
   37  c5            2.5 s       36.1 s
   38  Kf3           2.8 s       33.8 s
   39  c6+           6.8 s       27.5 s
   40  Rxa5          1.0 s       27.0 s
   41  Kf4           2.3 s       25.2 s
   42  Ke5           1.4 s       24.3 s
   43  Ra8+          1.0 s       23.8 s
   44  Ra7+          1.2 s       23.1 s
   45  Ra6           0.9 s       22.7 s
   46  Ra8+          0.7 s       22.6 s
   47  Ne6           0.7 s       22.4 s
   48  Kf4           1.8 s       21.1 s
   49  Kg5           1.1 s       20.5 s
   50  Kh4           0.6 s       20.4 s
   51  Ng5           1.2 s       19.7 s
   52  Nf7+          1.5 s       18.7 s
   53  Ra7           1.2 s       18.0 s
   54  Nh6           3.8 s       14.8 s
   55  Kg5           2.4 s       12.9 s
   56  Ng4           1.6 s       11.8 s
   57  Kf4           2.0 s       10.3 s
   58  Ra6+          0.6 s       10.2 s
   59  Kg5           1.2 s        9.6 s
   60  Kh5           0.4 s        9.6 s
   61  Ra5           1.5 s        8.6 s
   62  Ra8+          1.1 s        7.9 s
   63  Kg6           0.5 s        7.9 s
   64  Rh8           0.7 s        7.7 s
   65  Rh7           0.7 s        7.5 s
   66  f6            0.4 s        7.6 s
   67  Kxf6          1.5 s        6.6 s
   68  Kf5           0.2 s        6.9 s
   69  Ne3           1.1 s        6.4 s
   70  Nd5           0.2 s        6.7 s
   71  Kg4           0.3 s        6.9 s
   72  Kf4           0.7 s        6.6 s
   73  Ke5           0.7 s        6.5 s
   74  Kf6           0.5 s        6.4 s
   75  Kg6           0.3 s        6.6 s
   76  Kh6           0.3 s        6.8 s
   77  Ra7           0.7 s        6.7 s
   78  Kh5           0.5 s        6.6 s
   79  Nf4           0.3 s        6.8 s
   80  Kh6           0.3 s        7.0 s
   81  Kh7           0.5 s        7.0 s
   82  Nh5           0.2 s        7.3 s
   83  Rd7           0.5 s        7.4 s
   84  Nf4           0.5 s        7.3 s
   85  Rb7           0.2 s        7.7 s
   86  Rb5           0.5 s        7.7 s
   87  Kh8           0.0 s        8.2 s
   88  Ng6           0.4 s        8.3 s
   89  Rb8+          0.2 s        8.6 s
   90  Nf8+          0.3 s        8.8 s
   91  Nh7           0.4 s        8.9 s
   92  Rb5           1.1 s        8.3 s
   93  h4            0.4 s        8.4 s
   94  Rb6+          0.3 s        8.6 s
   95  Ra6           0.4 s        8.8 s
   96  Ra7+          0.2 s        9.0 s
   97  Kg8           1.0 s        8.5 s
   98  Nf8+          0.6 s        8.4 s
   99  Kh7           1.2 s        7.7 s
  100  Ne6           0.6 s        7.6 s
  101  Ng7+          0.7 s        7.4 s
  102  Nxf5          0.2 s        7.7 s
  103  Kg7           0.2 s        8.0 s
  104  Rf7           0.4 s        8.1 s
  105  Rc7           0.7 s        7.9 s
  106  Ra7           0.6 s        7.8 s
  107  Ra4           0.5 s        7.7 s
  108  Kf7           0.2 s        8.0 s
  109  Ra1           0.5 s        8.0 s
  110  Ra2+          0.5 s        8.0 s
  111  Rf2           1.3 s        7.2 s
  112  Rf1+          1.0 s        6.7 s
  113  Rg1           0.5 s        6.8 s
  114  Rg2+          0.3 s        7.0 s
  115  Rc2           0.9 s        6.6 s
  116  Ke6           0.2 s        6.9 s
  117  Kf5           0.3 s        7.1 s
  118  Ke4           0.5 s        7.1 s
  119  Rh2           0.9 s        6.7 s
  120  Kd3           0.5 s        6.7 s
  121  Kd4           0.4 s        6.8 s
  122  Rb2           0.7 s        6.6 s
  123  Ke4           0.6 s        6.4 s
  124  Kf3           0.2 s        6.8 s
  125  Ra2           0.4 s        6.8 s
  126  Rh2           0.5 s        6.8 s
  127  Rg2           0.4 s        6.9 s
  128  Kf4           0.4 s        7.0 s
  129  Ke4           0.7 s        6.8 s
  130  Rh2           0.4 s        6.9 s
